Timestamp,Who are you when you use the NextRequest system?,How many information requests have you filed via NextRequest in the past year?,Did you face any technical problems when submitting a request? ,OPTIONAL_If YES for question please explain,Scale of 1 to 5_how satisfied were you with the city's responses to your requests?,Were records released on the dates you were given as a deadline?,OPTIONAL_If NO explain how long of a delay you experienced and whether or not you ultimately received the records you requested,Scale of 1 to 5_were your interactions with city staff helpful?,Overall_what has worked well for you when using the NextRequest system? ,Overall_in what ways do you think the NextRequest system could be improved?
2018/01/05 5:28:08 PM PST,Journalist -- Working for Media Organization,16+,Yes,Sometimes I don't get email updates about the requests.,2,No,Usually weeks. sometimes I have to wait months. They also miss the 10-day deadline to provide a determination (do records exist. if yes. will they be released and when) on a CONSISTENT basis.,1,Being able to see documents other people have requested.,Having a person in each department who handles requests for that department. Often times. I don't know what records have the information I'm look for. Or I don't know what information/data a department has to request. There's no person on the other end to talk with to help you identify records.
2018/01/05 5:29:00 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Works well but not when I have to figure out how to word exact request,Easier way to find if someone has asked and received answer on same issue
2018/01/05 5:29:37 PM PST,Activist,5-Jan,No,,1,No,They were not releases at all.,1,,
2018/01/05 5:29:51 PM PST,Member of the public,5-Jan,No,,2,No,,1,,They need to follow up if they have questions about the request. not default to exclude that part of the request. I do not feel they adequately addressed my request.
2018/01/05 5:30:14 PM PST,Member of the public,5-Jan,No,,1,Yes,,1,,Improve and expand the categories description making it easier to request the correct information. System so complicated and restrictive in assisting you find the records needed. Verbal contact is non-existent. I was never able to locate the information I wanted and gave up in frustration. 
2018/01/05 5:31:09 PM PST,Activist,5-Jan,Yes,Some questions were difficult to understand.,3,Yes,,4,,
2018/01/05 5:31:54 PM PST,Environmental Consultant,10-Jun,No,,5,Yes,,4,,
2018/01/05 5:33:49 PM PST,Member of the public,15-Nov,No,,5,Yes,,5,"Information/documents that have always supposed to have been available to the public actually are now. specifically SDPD records. I'd made requests over the years to get this or that from the SDPD. knowing full well what I'd asked for was within the domain of the Public Information Act and they were required to hand it over. but they would REFUSE to do so. It's truly sickening they got away with it for as many DECADES as they did. but they did. 

The SDPD's hypocrisy would be laughable if it weren't so damaging. Chief Zimmerman is always blathering about how ""transparent"" her department is. She is full of shit and her ""transparent"" lies make me want to smack her; they're intellectually insulting. 

I think the main reason the SDPD got away with it is because whenever I complained to my government representatives about the situation. instead of doing anything. I got a litany of what they COULDN'T do. Instead of looking for causes of action. they dug for excuses NOT to act when apparently they could have--since this portal is now available--they just lacked the WILL to do so.","At first glance it can be a bit confusing because some of the headings are overly broad. If there was a way to ""whittle it down"" a bit to be more specific to exactly what you are looking for that could help. But even when I've made requests under a ""broad"" heading. the personnel who monitor the requests have made sure it gets to the appropriate department."
2018/01/05 5:35:15 PM PST,Member of the public,5-Jan,Yes,They kept sending it from one department to another. I had to re-submit several times.,1,No,As I remember. it was weeks.,1,Nothing,"Have consequences to the ineptness of city employees who do not preform
their job as described.

"
2018/01/05 5:37:17 PM PST,Activist,5-Jan,Yes,,4,No,,5,Staff seemed very responsive to message function in Next request. ,
2018/01/05 5:38:38 PM PST,lawyer,5-Jan,No,,,,,,,I did not use NextRequest.  I used E-mail to make my P.R.A. Request and the City of San Diego responded via NextRequest.  I have been oblivious to NextRequest thereafter.  So. it seems that its use is one-way for the City.  I don't recall now. 15 months later. how well it worked beyond my E-mail trail which occurred within 13 days which is very prompt.
2018/01/05 5:42:26 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:45:33 PM PST,Taxpayer Advocate,5-Jan,No,,5,No,I canceled the request. turns out same request was made month before. was published on system. Request number of run missed by ambulance contractor Rural Metro,5,e-mails receiving request and updates,It is nice prior requests are searchable. However missed the document first attempt.
2018/01/05 5:50:06 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,Overall. I feel the system works very well.
2018/01/05 5:50:27 PM PST,,,,,,,,,,Overall. I feel the system works very well.
2018/01/05 5:57:45 PM PST,Activist,5-Jan,No,,1,No,Im still waiting after several weeks to even get a deadline. ,3,The website is cool. I like to see all the requests of other’s. ,The police department lacks transparency and ethics.
2018/01/05 5:58:24 PM PST,consultant,5-Jan,No,,4,Yes,,5,,
2018/01/05 6:00:50 PM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/05 6:06:09 PM PST,Member of the public,5-Jan,No,,4,,,5,Staff responds to internet requests pretty promptly. My only dissatisfaction is a vague suspicion that I didn’t get everything I requested. ,None. I think that the web portal works well for requesters and I cringe to imagine what all of these requests are costing me as a taxpayer. 
2018/01/05 6:17:23 PM PST,Member of the public,10-Jun,No,,2,No,,3,,
2018/01/05 6:19:20 PM PST,Member of the public,5-Jan,No,,4,Yes,,3,,
2018/01/05 6:32:10 PM PST,Member of the public,5-Jan,No,,1,No,,1,,
2018/01/05 6:33:53 PM PST,Member of the public,5-Jan,No,,4,,,,It worked relatively well. I got a response so I was happy overall even though it was 10 days later.  Thank you for everything you do.,
2018/01/05 6:37:15 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,Request was prompt response.
2018/01/05 6:41:17 PM PST,Property Condition Assessor,16+,No,,5,Yes,,5,Everything,Nothing
2018/01/05 6:50:16 PM PST,Member of the public,5-Jan,Yes,site timed out. pages wouldn't load,1,No,,1,,
2018/01/05 6:52:51 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 6:52:52 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Quick comprehensive response ,It’s perfect 
2018/01/05 6:56:38 PM PST,Lawyer,5-Jan,Yes,I don't recall the request being promptly responded to.,2,No,I don't remember when documents (if any) were released to me.  In fact. I think I was told that the records could not be released.,2,Nothing.  I'm not trying to be cynical.,There needs to be a quicker response.
2018/01/05 7:10:15 PM PST,Member of the public,5-Jan,No,,3,No,No I am yet to receive some information,5,,City staff should state in a single straight forward check off matter what documents will not be released
2018/01/05 7:10:22 PM PST,,,,,,,No I am yet to receive some information,,,City staff should state in a single straight forward check off matter what documents will not be released
2018/01/05 7:33:23 PM PST,Multiple hats: Activist. Advocate. Entrepreneur. NPO,5-Jan,No,,3,No,One of about four requests I made this year took about four months to get the requested documents. ,3,The ability to see the threaded back-and-forth discussion. the ability to view other requests and response-documents.,I have a long list. Please email if you're interested in a longer response. Thank you!
2018/01/05 7:36:25 PM PST,Journalist -- Freelance,16+,Yes,One was lost and several took rather long.,4,No,I did receive them. albeit a bit late. Some of the requests were voluminous and I attributed that to the delays.,4,having a centralized location to communicate and view requests.,Often times messages to and from staff take longer than expected.
2018/01/05 7:51:14 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 7:51:24 PM PST,Member of the public,16+,No,,1,No,still waiting on some. months later. They are ignoring my requests,1,They hide under the color of authority when they do not want to provide information,Give up the info. do be a chickenshit!
2018/01/05 7:56:58 PM PST,Member of the public,16+,No,,5,Yes,,5,,
2018/01/05 7:57:24 PM PST,Member of the public,5-Jan,No,,5,Yes,In one instance they requested an extra week to try and locate records but none existed. ,5,Ease of use - time efficiency ,Improved search - fuzzy logic
2018/01/05 8:10:42 PM PST,Member of the public,5-Jan,No,,4,,,3,,
2018/01/05 8:14:32 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,5,Yes,,4,,way easier than 99% of the records requests i've done
2018/01/05 9:06:23 PM PST,Private Investigator,10-Jun,No,,5,Yes,,5,The ease of creating and submitting the request online make the process very easy.  On the occasion a request takes several months to research. the staff provides timely updates and has to date always provided the requested information.,
2018/01/05 10:01:00 PM PST,Member of the public,5-Jan,No,,5,No,The original date was extended.,5,It was easy and actually worked. I also went to file another one. but it determined someone had already filed a similar PRA with the documents I was looking for. It worked well.,I like it. I've filed in other places. such as the City of Chicago and City of Huntington Beach. This is a much better experience.
2018/01/05 10:44:07 PM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/06 2:28:44 AM PST,Member of the public,5-Jan,No,,3,No,,4,,
2018/01/06 3:51:11 AM PST,Land Use Consultant,5-Jan,Yes,Request isn't routed properly.,1,No,In some instances. never received the requested records.,2,I do not like the system.,Use a conventional request system and properly route request.
2018/01/06 4:03:25 AM PST,Member of the public,5-Jan,Yes,Had to resubmit a few times as it would time out ...I learned to copy my info first so I didn't have to retype,1,No,I never got them,1,Nothing,"Someone needs to go on in a ""mysterious shopper"" fashion and try out the system themselves so that they don't know or cannot prepare so they can see how well the system functions without interference. "
2018/01/06 5:47:09 AM PST,Member of the public,5-Jan,No,,4,No,Deadline uncertain due to need for signatures,4,Yes,Uncertain
2018/01/06 6:15:27 AM PST,Member of the public,5-Jan,Yes,Sorry. dont remember right now.,1,No,sorry dont remember but over due and unresponsive,1,Nothing,Let people decide whether they want to send in a hard copy or use the system.
2018/01/06 6:51:07 AM PST,Federal Govt. civilian employee,5-Jan,No,,4,No,As I recall. it took a couple of weeks for the various submissions that progressed to different agencies. No records were found.,4,Doing it online and seeing the process unfold. ,Perhaps have some personal response from an individual that everything had been researched properly and there was nothing available. I believe it was all automated.
2018/01/06 7:17:34 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,They provided the list I requested within a couple of days,I'm not sure but any information/data system should have good search and retrieval capability.  San Diego's seems pretty good.
2018/01/06 7:36:12 AM PST,Journalist -- Working for Media Organization,10-Jun,Yes,,1,No,Delays are typically not explained,1,,Should be scrapped in favor if internal digital system
2018/01/06 7:44:37 AM PST,Member of the public,5-Jan,Yes,,1,No,,2,,Difficult to navigate 
2018/01/06 7:49:27 AM PST,Member of the public,5-Jan,No,,3,Yes,,4,The ability to keep track of my request. Also. I've noticed that I am more likely to get a response to my public records request when it has been submitted through a portal like NextRequest. Not every CA city utilizes a portal system and my requests submitted via email often go ignored. ,I requested the Twitter block lists of several council members in one request. Due to how responses are provided through the system it would have been better to submit those requests individually.
2018/01/06 8:15:54 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,timeliness of reply.,
2018/01/06 8:56:36 AM PST,Member of the public,5-Jan,No,,3,No,The records were from 1981 and had been removed per city/county policy.,3,,
2018/01/06 9:04:33 AM PST,Private investigator ,5-Jan,No,,1,No,About a two week delay. I did not receive records/ information which I believed to exist ,3,Ease of submitting ,This is a City staff issue more than the system issue
2018/01/06 9:44:29 AM PST,Journalist -- Freelance,10-Jun,No,,5,Yes,I answered 'yes'. but for the most part. depending on whether or not the reports I am seeking were filed by the department (lifeguard activity report),5,It is better than having the department copy me on the weekly reports. as they are understaffed and there is not central PIO. it's more of a shared duty and can be inconsistent. So NextRequest provides a way to secure data for a weekly element in print.,None that I can think of. seems great.
2018/01/06 9:57:17 AM PST,Activist,15-Nov,No,,4,No,No deadline given,4,It’s worked well. but it would be better if the city department in question was more forthcoming with information during scheduled meetings when reports related to the requests are being given.  Reports are verbal only.  Documentation is usually not presented.  ,It would be handy to have a folder of just my requests.  I’ve made more than 40 since 2014. all related to the same topic.  The older requests were fulfilled using compact discs in a format that required specialized software to access.  So. in many respects. this is much better.  
2018/01/06 10:05:24 AM PST,Member of the public,5-Jan,Yes,I was unable to reopen the request since the documents provided were incomplete. I requested a traffic & speed engineering survey & only received a summary. We then went to email to try to resolve the issue. It seemed email was a much faster response than the system. Issue however didn't get resolved because the system said it was closed therefore no longer on the to-do list. If emailed it doesn't make the list so it can be ignored. but if in the system the administrator deciders if a request is resolved even if it isn't. ,2,No,I had to email to get a response,2,I liked how I was able to look up a previous request before submitting my request. It may help to add tags to the documents so we may narrow our search. such as streets in my case. Most people of the public requesting for the first time don't know exactly what they need to search.  such as the name of the document or what's in the document to narrow the search. For example. I didn't know what streets were labeled in the engineering survey so when I searched the name of a main street I found I needed to search the reference streets instead. ,Email conflicts with the process. There's needs to be an SOP & it must be followed. Also.  providing the minimal documentation.  such as summaries rather than the entire document.  given the request is digital.  only makes the request dialogue longer.  more staff time.  & less possibility of showing up in a search for someone else's needs in the future. Therfore summaries take away from the beauty of the system's  intent which is to eventually expedite & save $.
2018/01/06 10:06:17 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,3,Yes,,3,Everything is streamlined and I can see which person and Department is dealing with my request.,There is much less opportunity to go back and forth on requests for clarifications or to discuss how something was searched for. In that way it’s less transparent and makes it more difficult to ensure you receive what you’re looking for.
2018/01/06 10:11:28 AM PST,Commercial research,16+,No,,3,No,"Generally received the records. not always timely. And. the City tends to ""inadvertently"" interpret very specific requests incorrectly - particularly when it doesn't want to release information",2,Submittal is relatively simple,"A requestor ought to be able challenge or. at a minimum. comment on a ""closed"" request.  On more than one occasion. the City has deemed a request ""closed"" when it had not produced the records or had ""inadvertently"" produced incomplete or completely wrong records in response to a very specific request. If the City is being measured on closed requests. this number is skewed."
2018/01/06 10:14:40 AM PST,Member of the public,5-Jan,No,,2,No,Did not provide complete details so needed to go back,2,Compared to other City services in San Diego (ie SDPD dispatch. SDPD traffic. etc) this one works relatively well (that being said in any other city it wourld be considered substandard) ,Sometime hard for public to know how documents are filed so additional interaction would be good 
2018/01/06 10:20:04 AM PST,Member of the public,5-Jan,Yes,They said It was not in their jurisdiction to give me info. They said they were only for SDPD and I was inquiring about Chula Vista police.  Chula Vista police said they could not release info and then transferred me to a department that handles the release of info. She too said I cannot have the info I requested . which was a police report and 911 audio call. It wasn't until I gave them the law or the code number that made it law for them to release info to any public citizen requesting it.. at this point . she referred me to the site . Next Request. But she must have known it was only for San Diego and not Chula Vista. ,1,No,The actuall person responding from next request was actually very quick to respond and informative. It's Chula Vista pd that is not up to par ,4,,
2018/01/06 10:20:16 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/06 10:51:44 AM PST,Member of the public,5-Jan,No,,3,Yes,,2,The response time in regards to what I've requested was good. but on one occasion I was asked to discuss the question and my answers were not forthcoming. I felt that my questions were ones that the city didn't want to answer. so they had a dept head call and discuss my questions with me.,Any and all questions grom the piblic should be responded to in writing. othetwise it makes the requestor fill like they're asking questions staff doesn't want to answer or some other nefarious reason.
2018/01/06 11:05:55 AM PST,Member of the public,5-Jan,No,,3,,,5,If I submit a request in a higher income area. I get a response compared to no response at all.,
2018/01/06 11:06:54 AM PST,Member of the public,5-Jan,No,,4,Yes,,5,,
2018/01/06 11:23:27 AM PST,Member of the public,5-Jan,No,,1,Yes,,3,The ability to approach the city about the accident,The system worked good for my needs.
2018/01/06 11:35:27 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,1,Yes,,1,Nothing. This is a terrible way to access public documents. ,Dump NextRequest entirely. The city has many PR professional in place who could do a much better job. 
2018/01/06 1:51:46 PM PST,Land Use Planning consultant,5-Jan,Yes,the system gagged on a request for files from the 1970s,2,No,i had to call twice over a 3 week period to get a supervisor to get the old files from archives,3,This new system may work for some records from the last couple years. but only because i have worked with the City for 40 years. did i not give up. badgering the staff till i got what i knew they had.,Make it embrace ALL the records of Council actions. ever.
2018/01/06 3:03:23 PM PST,Member of the public,5-Jan,No,,4,No,They were released well before the estimated delivery date.,4,Hard to say.  I used it once.  It worked.  Not much else to say about it. ,1) No Comment about the NR system.  2) Members of the media might do what I do to get information - develop and maintain a large group of “friends in low places” across the City staff who can provide information; but don’t say you’re in the media.  You’re anathema with City staff because they don’t want to help you and then be outed for having done it.  Said straightforwardedly. I protect my friends in low places who in turn keep me abreast of what’s happening at the City in the departments that interest me. all without resort to the formal NextRequest system.
2018/01/06 3:03:33 PM PST,Member of the public,5-Jan,Yes,"document was reported ""unavailable "" and I would have to get back to them on my request",1,No,did not receive the record,2,,web site and request process very difficult and slow
2018/01/06 3:28:09 PM PST,Attorney. for use in information gathering. lawsuits. and public bidding on public works projects,16+,No,,3,No,For the most part. records were released in a timely manner.  However. in a few instances. I would be waiting for weeks (2-3) after the coordinator told me I would records.  Further. when I tried to follow up. I would get no response.  This problem. in my opinion. is not attributable to the individual City departments and employees who handle the request.  ,4,Having an online database where the responsive documents are produced is helpful.  Further. having each file appropriately named makes it easier to organize.  ,"It is hard to get in contact with the representative who is handling my requests.  I understand the NextRequest was created to put a layer between citizens and departments and to have NextRequest representatives work on the request.  However. as an attorney particularly. sometimes the issues are time sensitive.  When I do other public records requests throughout the State. I am able to contact the coordinator directly via phone or email.  The NextRequest system only allows us to leave a message for our coordinator.  This problem may be unique to my situation. but I feel like more direct access to those gathering the documents would be helpful.  Further. if production is made and somethings are missing. I typically send and email with attachments and hyperlinks to show which documents still need to be produced.  However. with the NextRequest message system. I cannot do that and it makes it harder to communicate which documents the City still needs to be produced.  Finally. a lot of what I do concerns Public Works Construction Projects owned by the City.  Specifically. competitive bidding and ensuring City compliance with the municipal code.  When a project is awarded. often times the losing bidders protest the winning bid to get the City to award to someone else.  This ""protest"" process requires entities. and their attorneys like me. procure the CIty's Project Documents. other bids. and City regulations specific to that Project. all of which are public records under California law.  The City requires all protests to be submitted within 10 days of award on any project.  With such a short window. getting documents as soon as we can is essential.  As set forth above. the NextRequest system makes it difficult to contact a representative to ensure prompt production of records.  The typical fact pattern for me is that I submit my request. it takes a day or two to assign to a representative. then another day or two for that representative to coordinate with the proper department. and by the time I get the documents. or a response from my representative. I only have a short window to analyze and draft our protest.  In short. more access to the representative handling the request would be useful.    
  "
2018/01/06 3:28:14 PM PST,Member of the public,5-Jan,No,,4,Yes,,5,"Staff helped me refine my ""ask"". I got what I was looking for. and not anything else.",Instead of a pdf of a photo. it would be nite to receive it in native format.
